HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score,HumNoise SNR,score,WhiteNoise SNR,score,Clipping Percentage(%),score,Dropout Num,score
1,0.59,1,0.19,1,0.85,1,0.87,1,0.57,1,0.2,1,0.85,1,0.99
2,0.6,2,0.2,2,0.8,2,0.85,2,0.59,2,0.2,2,0.79,2,0.94
3,0.6,3,0.21,3,0.77,3,0.85,3,0.61,3,0.21,3,0.74,3,0.94
4,0.6,4,0.22,4,0.72,4,0.86,4,0.6,4,0.22,4,0.69,4,0.95
5,0.61,5,0.22,5,0.68,5,0.82,5,0.61,5,0.22,5,0.65,5,0.9
6,0.63,6,0.23,6,0.65,6,0.81,6,0.62,6,0.23,6,0.62,6,0.88
7,0.64,7,0.24,7,0.62,7,0.81,7,0.62,7,0.24,7,0.59,7,0.88
8,0.65,8,0.24,8,0.6,8,0.82,8,0.64,8,0.24,8,0.57,8,0.89
9,0.66,9,0.25,9,0.58,9,0.83,9,0.65,9,0.25,9,0.55,9,0.9
10,0.68,10,0.26,10,0.57,10,0.84,10,0.67,10,0.26,10,0.54,10,0.9
11,0.69,11,0.27,11,0.55,11,0.83,11,0.69,11,0.27,11,0.53,11,0.9
12,0.7,12,0.28,12,0.54,12,0.82,12,0.7,12,0.28,12,0.51,12,0.89
13,0.72,13,0.3,13,0.53,13,0.77,13,0.72,13,0.3,13,0.5,13,0.81
14,0.72,14,0.31,14,0.51,14,0.83,14,0.73,14,0.31,14,0.48,14,0.9
15,0.74,15,0.33,15,0.5,15,0.77,15,0.75,15,0.33,15,0.47,15,0.82
16,0.75,16,0.35,16,0.48,16,0.79,16,0.76,16,0.35,16,0.46,16,0.84
17,0.76,17,0.35,17,0.47,17,0.76,17,0.78,17,0.35,17,0.44,17,0.8
18,0.77,18,0.39,18,0.46,18,0.82,18,0.79,18,0.38,18,0.43,18,0.87
19,0.78,19,0.39,19,0.44,19,0.8,19,0.8,19,0.38,19,0.42,19,0.85
20,0.78,20,0.43,20,0.43,20,0.77,20,0.81,20,0.42,20,0.41,20,0.81
21,0.79,21,0.46,21,0.42,21,0.83,21,0.82,21,0.45,21,0.4,21,0.89
22,0.8,22,0.49,22,0.41,22,0.76,22,0.84,22,0.47,22,0.39,22,0.8
23,0.81,23,0.5,23,0.4,23,0.74,23,0.84,23,0.48,23,0.38,23,0.79
24,0.81,24,0.53,24,0.39,24,0.75,24,0.86,24,0.52,24,0.37,24,0.78
25,0.83,25,0.56,25,0.38,25,0.75,25,0.87,25,0.54,25,0.36,25,0.8
26,0.83,26,0.58,26,0.37,26,0.76,26,0.88,26,0.56,26,0.36,26,0.81
27,0.83,27,0.61,27,0.36,27,0.77,27,0.89,27,0.59,27,0.35,27,0.81
28,0.84,28,0.65,28,0.36,28,0.72,28,0.89,28,0.61,28,0.34,28,0.75
29,0.84,29,0.67,29,0.35,29,0.69,29,0.9,29,0.64,29,0.34,29,0.73
30,0.85,30,0.7,30,0.34,30,0.73,30,0.91,30,0.67,30,0.33,30,0.78
31,0.85,31,0.73,31,0.34,31,0.68,31,0.91,31,0.69,31,0.32,31,0.72
32,0.86,32,0.74,32,0.33,32,0.71,32,0.91,32,0.71,32,0.32,32,0.73
33,0.86,33,0.76,33,0.33,33,0.7,33,0.92,33,0.72,33,0.32,33,0.72
34,0.86,34,0.78,34,0.32,34,0.73,34,0.92,34,0.75,34,0.31,34,0.77
35,0.86,35,0.8,35,0.32,35,0.73,35,0.92,35,0.76,35,0.31,35,0.77
36,0.87,36,0.81,36,0.31,36,0.71,36,0.93,36,0.78,36,0.3,36,0.74
37,0.87,37,0.82,37,0.31,37,0.71,37,0.93,37,0.79,37,0.3,37,0.74
38,0.86,38,0.83,38,0.3,38,0.71,38,0.93,38,0.8,38,0.29,38,0.74
39,0.87,39,0.84,39,0.3,39,0.69,39,0.94,39,0.81,39,0.29,39,0.72
40,0.87,40,0.84,40,0.3,40,0.67,40,0.94,40,0.82,40,0.29,40,0.7
41,0.87,41,0.85,41,0.29,41,0.66,41,0.94,41,0.82,41,0.29,41,0.68
42,0.87,42,0.85,42,0.29,42,0.71,42,0.94,42,0.84,42,0.28,42,0.74
43,0.87,43,0.86,43,0.29,43,0.68,43,0.95,43,0.84,43,0.28,43,0.71
44,0.87,44,0.86,44,0.28,44,0.69,44,0.94,44,0.84,44,0.28,44,0.71
45,0.87,45,0.86,45,0.28,45,0.67,45,0.94,45,0.85,45,0.28,45,0.7
46,0.87,46,0.86,46,0.28,46,0.64,46,0.95,46,0.84,46,0.27,46,0.66
47,0.87,47,0.86,47,0.27,47,0.65,47,0.95,47,0.86,47,0.27,47,0.68
48,0.87,48,0.87,48,0.27,48,0.66,48,0.95,48,0.86,48,0.27,48,0.69
49,0.87,49,0.87,49,0.27,49,0.72,49,0.95,49,0.87,49,0.27,49,0.75
50,0.87,50,0.87,50,0.27,50,0.64,50,0.95,50,0.87,50,0.26,50,0.66
51,0.87,51,0.87,51,0.27,51,0.69,51,0.95,51,0.87,51,0.26,51,0.72
52,0.87,52,0.87,52,0.26,52,0.65,52,0.95,52,0.88,52,0.26,52,0.66
53,0.87,53,0.87,53,0.26,53,0.62,53,0.96,53,0.88,53,0.26,53,0.63
54,0.87,54,0.87,54,0.26,54,0.63,54,0.95,54,0.88,54,0.25,54,0.64
55,0.87,55,0.87,55,0.26,55,0.68,55,0.96,55,0.88,55,0.25,55,0.7
56,0.87,56,0.87,56,0.25,56,0.64,56,0.96,56,0.89,56,0.25,56,0.66
57,0.87,57,0.87,57,0.25,57,0.63,57,0.96,57,0.89,57,0.25,57,0.64
58,0.87,58,0.87,58,0.25,58,0.64,58,0.96,58,0.89,58,0.25,58,0.66
59,0.87,59,0.87,59,0.25,59,0.62,59,0.96,59,0.89,59,0.25,59,0.63
60,0.87,60,0.87,60,0.25,60,0.65,60,0.96,60,0.9,60,0.24,60,0.66
61,0.87,61,0.87,61,0.24,61,0.67,61,0.97,61,0.9,61,0.24,61,0.69
62,0.88,62,0.87,62,0.24,62,0.62,62,0.96,62,0.9,62,0.24,62,0.63
63,0.87,63,0.87,63,0.24,63,0.65,63,0.96,63,0.91,63,0.24,63,0.66
64,0.87,64,0.87,64,0.24,64,0.65,64,0.96,64,0.91,64,0.24,64,0.67
65,0.87,65,0.87,65,0.24,65,0.63,65,0.97,65,0.92,65,0.24,65,0.64
66,0.87,66,0.87,66,0.24,66,0.63,66,0.96,66,0.93,66,0.24,66,0.64
67,0.87,67,0.87,67,0.24,67,0.63,67,0.96,67,0.93,67,0.24,67,0.65
68,0.87,68,0.87,68,0.24,68,0.62,68,0.97,68,0.93,68,0.23,68,0.63
69,0.87,69,0.87,69,0.24,69,0.59,69,0.96,69,0.94,69,0.23,69,0.59
70,0.87,70,0.87,70,0.23,70,0.63,70,0.97,70,0.93,70,0.23,70,0.65
71,0.87,71,0.87,71,0.23,71,0.62,71,0.96,71,0.94,71,0.23,71,0.62
72,0.87,72,0.87,72,0.23,72,0.61,72,0.97,72,0.94,72,0.23,72,0.62
73,0.87,73,0.87,73,0.23,73,0.56,73,0.97,73,0.95,73,0.23,73,0.57
74,0.87,74,0.87,74,0.23,74,0.65,74,0.97,74,0.95,74,0.23,74,0.67
75,0.87,75,0.87,75,0.23,75,0.6,75,0.97,75,0.96,75,0.23,75,0.61
76,0.87,76,0.87,76,0.23,76,0.54,76,0.97,76,0.96,76,0.23,76,0.55
77,0.87,77,0.87,77,0.23,77,0.62,77,0.97,77,0.95,77,0.23,77,0.63
78,0.87,78,0.87,78,0.22,78,0.6,78,0.97,78,0.95,78,0.22,78,0.61
79,0.87,79,0.87,79,0.22,79,0.6,79,0.97,79,0.96,79,0.22,79,0.61
80,0.87,80,0.87,80,0.22,80,0.61,80,0.97,80,0.96,80,0.22,80,0.61
81,0.87,81,0.87,81,0.22,81,0.63,81,0.97,81,0.96,81,0.22,81,0.63
82,0.87,82,0.87,82,0.22,82,0.64,82,0.97,82,0.96,82,0.22,82,0.65
83,0.87,83,0.87,83,0.22,83,0.62,83,0.97,83,0.97,83,0.22,83,0.63
84,0.87,84,0.87,84,0.22,84,0.56,84,0.97,84,0.96,84,0.22,84,0.57
85,0.87,85,0.87,85,0.22,85,0.58,85,0.97,85,0.97,85,0.22,85,0.58
86,0.87,86,0.87,86,0.22,86,0.57,86,0.96,86,0.97,86,0.22,86,0.57
87,0.87,87,0.87,87,0.22,87,0.58,87,0.97,87,0.97,87,0.22,87,0.58
88,0.87,88,0.87,88,0.22,88,0.59,88,0.97,88,0.97,88,0.22,88,0.6
89,0.87,89,0.87,89,0.22,89,0.57,89,0.97,89,0.97,89,0.22,89,0.58
90,0.87,90,0.87,90,0.22,90,0.55,90,0.97,90,0.98,90,0.22,90,0.56
91,0.87,91,0.87,91,0.21,91,0.53,91,0.97,91,0.97,91,0.22,91,0.53
92,0.87,92,0.87,92,0.21,92,0.55,92,0.97,92,0.98,92,0.21,92,0.55
93,0.87,93,0.87,93,0.21,93,0.57,93,0.97,93,0.97,93,0.21,93,0.57
94,0.87,94,0.87,94,0.21,94,0.57,94,0.97,94,0.97,94,0.21,94,0.59
95,0.87,95,0.87,95,0.21,95,0.61,95,0.97,95,0.97,95,0.21,95,0.61
96,0.87,96,0.87,96,0.21,96,0.54,96,0.97,96,0.98,96,0.21,96,0.55
97,0.87,97,0.87,97,0.21,97,0.59,97,0.97,97,0.97,97,0.21,97,0.6
98,0.87,98,0.87,98,0.21,98,0.53,98,0.97,98,0.98,98,0.21,98,0.53
99,0.87,99,0.87,99,0.21,99,0.58,99,0.97,99,0.97,99,0.21,99,0.59
