Hum SNR,score,WhiteNoise SNR,score.1,Clipping Percentage(%),score.2,Dropout Num,score.3,Hum SNR.1,score.4,WhiteNoise SNR.1,score.5,Clipping Percentage(%).1,score.6,Dropout Num.1,score.7
1,-2.8245714285714283,1.0,-3.7920000000000003,1.0,-1.282142857142857,1.0,-1.2592857142857141,1.0,-3.2498571428571426,1.0,-3.8581428571428575,1.0,-1.973857142857143,1.0,-0.32157142857142856
2,-2.769142857142857,2.0,-3.785285714285714,2.0,-1.5258571428571428,2.0,-1.2462857142857142,2.0,-3.116285714285714,2.0,-3.857142857142857,2.0,-2.4490000000000003,2.0,-0.5237142857142857
3,-2.7211428571428575,3.0,-3.7882857142857143,3.0,-1.7237142857142858,3.0,-1.4107142857142858,3.0,-3.1465714285714284,3.0,-3.858857142857143,3.0,-2.7334285714285715,3.0,-0.7714285714285715
4,-2.6550000000000002,4.0,-3.7838571428571433,4.0,-1.9317142857142857,4.0,-1.3477142857142856,4.0,-3.145857142857143,4.0,-3.8567142857142858,4.0,-2.9044285714285714,4.0,-0.7985714285714286
5,-2.588571428571428,5.0,-3.778142857142857,5.0,-2.0868571428571427,5.0,-1.6051428571428572,5.0,-3.1455714285714285,5.0,-3.8562857142857143,5.0,-3.036857142857143,5.0,-1.0617142857142858
6,-2.5342857142857147,6.0,-3.7734285714285716,6.0,-2.235,6.0,-1.6764285714285714,6.0,-3.097714285714286,6.0,-3.8552857142857144,6.0,-3.1301428571428573,6.0,-1.2478571428571428
7,-2.455714285714286,7.0,-3.7685714285714282,7.0,-2.387857142857143,7.0,-2.0411428571428574,7.0,-3.0362857142857145,7.0,-3.8551428571428574,7.0,-3.1990000000000003,7.0,-1.675857142857143
8,-2.3822857142857146,8.0,-3.7645714285714287,8.0,-2.4772857142857143,8.0,-1.852,8.0,-2.9604285714285714,8.0,-3.8537142857142856,8.0,-3.2552857142857143,8.0,-1.5528571428571427
9,-2.3075714285714284,9.0,-3.7534285714285716,9.0,-2.599857142857143,9.0,-1.7547142857142857,9.0,-2.876714285714286,9.0,-3.8515714285714284,9.0,-3.318142857142857,9.0,-1.4211428571428573
10,-2.226,10.0,-3.7375714285714285,10.0,-2.7079999999999997,10.0,-1.8704285714285713,10.0,-2.7925714285714287,10.0,-3.846285714285714,10.0,-3.367857142857143,10.0,-1.582
11,-2.125857142857143,11.0,-3.726,11.0,-2.7920000000000003,11.0,-1.9628571428571429,11.0,-2.678142857142857,11.0,-3.8442857142857143,11.0,-3.4131428571428573,11.0,-1.7799999999999998
12,-2.061857142857143,12.0,-3.7172857142857145,12.0,-2.8751428571428574,12.0,-1.8380000000000003,12.0,-2.5645714285714285,12.0,-3.8392857142857144,12.0,-3.4484285714285714,12.0,-1.6400000000000001
13,-1.9714285714285713,13.0,-3.6872857142857143,13.0,-2.947,13.0,-1.852285714285714,13.0,-2.4785714285714286,13.0,-3.8308571428571425,13.0,-3.4894285714285718,13.0,-1.7287142857142859
14,-1.9012857142857142,14.0,-3.675142857142857,14.0,-3.009857142857143,14.0,-2.198857142857143,14.0,-2.3745714285714286,14.0,-3.8244285714285717,14.0,-3.5135714285714283,14.0,-1.9861428571428572
15,-1.8212857142857144,15.0,-3.645857142857143,15.0,-3.0685714285714285,15.0,-2.077857142857143,15.0,-2.242142857142857,15.0,-3.812857142857143,15.0,-3.5367142857142855,15.0,-1.945
16,-1.77,16.0,-3.619142857142857,16.0,-3.124714285714286,16.0,-2.146714285714286,16.0,-2.1065714285714288,16.0,-3.8015714285714286,16.0,-3.5632857142857146,16.0,-1.9748571428571429
17,-1.7044285714285714,17.0,-3.5852857142857144,17.0,-3.1835714285714287,17.0,-2.3695714285714287,17.0,-2.032142857142857,17.0,-3.7922857142857143,17.0,-3.5908571428571427,17.0,-2.3392857142857144
18,-1.6587142857142858,18.0,-3.5429999999999997,18.0,-3.2217142857142855,18.0,-2.3155714285714284,18.0,-1.913714285714286,18.0,-3.7755714285714284,18.0,-3.601714285714286,18.0,-2.201857142857143
19,-1.6058571428571429,19.0,-3.493,19.0,-3.265571428571428,19.0,-2.1784285714285714,19.0,-1.8225714285714287,19.0,-3.7524285714285712,19.0,-3.616285714285714,19.0,-2.169
20,-1.5694285714285716,20.0,-3.4495714285714283,20.0,-3.302857142857143,20.0,-2.3505714285714285,20.0,-1.7365714285714287,20.0,-3.7315714285714283,20.0,-3.638142857142857,20.0,-2.315142857142857
21,-1.5341428571428573,21.0,-3.4115714285714285,21.0,-3.3347142857142855,21.0,-2.095,21.0,-1.6545714285714284,21.0,-3.714142857142857,21.0,-3.6524285714285716,21.0,-2.0815714285714284
22,-1.5087142857142857,22.0,-3.357,22.0,-3.3704285714285716,22.0,-2.579,22.0,-1.5797142857142856,22.0,-3.6875714285714283,22.0,-3.6675714285714287,22.0,-2.7115714285714287
23,-1.4777142857142855,23.0,-3.3094285714285716,23.0,-3.395857142857143,23.0,-2.3278571428571433,23.0,-1.4937142857142856,23.0,-3.661142857142857,23.0,-3.6774285714285715,23.0,-2.2985714285714285
24,-1.4572857142857143,24.0,-3.270285714285714,24.0,-3.427571428571429,24.0,-2.2602857142857142,24.0,-1.4375714285714285,24.0,-3.6362857142857146,24.0,-3.6894285714285715,24.0,-2.2734285714285716
25,-1.4335714285714285,25.0,-3.2181428571428574,25.0,-3.448,25.0,-2.4214285714285713,25.0,-1.3619999999999999,25.0,-3.6214285714285714,25.0,-3.6972857142857145,25.0,-2.468857142857143
26,-1.4200000000000002,26.0,-3.1541428571428574,26.0,-3.4819999999999998,26.0,-2.1744285714285714,26.0,-1.3092857142857144,26.0,-3.588285714285714,26.0,-3.7085714285714286,26.0,-2.2568571428571427
27,-1.3925714285714286,27.0,-3.0861428571428573,27.0,-3.4989999999999997,27.0,-2.3404285714285713,27.0,-1.2932857142857144,27.0,-3.5458571428571433,27.0,-3.7155714285714287,27.0,-2.4004285714285714
28,-1.3865714285714286,28.0,-3.0344285714285713,28.0,-3.5185714285714282,28.0,-2.360285714285714,28.0,-1.2469999999999999,28.0,-3.5154285714285716,28.0,-3.724428571428571,28.0,-2.4224285714285716
29,-1.364,29.0,-2.9541428571428576,29.0,-3.5321428571428575,29.0,-2.565714285714286,29.0,-1.2108571428571426,29.0,-3.479714285714286,29.0,-3.729142857142857,29.0,-2.677285714285714
30,-1.366857142857143,30.0,-2.9097142857142857,30.0,-3.549571428571429,30.0,-2.4294285714285713,30.0,-1.1701428571428572,30.0,-3.4532857142857147,30.0,-3.735,30.0,-2.539142857142857
31,-1.3441428571428573,31.0,-2.807857142857143,31.0,-3.5581428571428573,31.0,-2.470428571428571,31.0,-1.1372857142857142,31.0,-3.398285714285714,31.0,-3.738285714285714,31.0,-2.6104285714285713
32,-1.3232857142857142,32.0,-2.742857142857143,32.0,-3.564285714285714,32.0,-2.5824285714285717,32.0,-1.1172857142857142,32.0,-3.373,32.0,-3.742714285714286,32.0,-2.7022857142857144
33,-1.2968571428571427,33.0,-2.668428571428571,33.0,-3.5785714285714287,33.0,-2.4202857142857144,33.0,-1.0662857142857143,33.0,-3.3177142857142856,33.0,-3.750285714285714,33.0,-2.553
34,-1.2838571428571428,34.0,-2.605571428571429,34.0,-3.5925714285714285,34.0,-2.4274285714285715,34.0,-0.9961428571428571,34.0,-3.264714285714286,34.0,-3.7537142857142856,34.0,-2.5429999999999997
35,-1.2787142857142857,35.0,-2.525571428571429,35.0,-3.597,35.0,-2.5182857142857142,35.0,-0.9747142857142858,35.0,-3.2115714285714287,35.0,-3.755571428571429,35.0,-2.7319999999999998
36,-1.2577142857142858,36.0,-2.439857142857143,36.0,-3.600142857142857,36.0,-2.5107142857142857,36.0,-0.952,36.0,-3.1652857142857145,36.0,-3.7561428571428572,36.0,-2.645285714285714
37,-1.2322857142857142,37.0,-2.3524285714285713,37.0,-3.6148571428571428,37.0,-2.6925714285714286,37.0,-0.8797142857142858,37.0,-3.1007142857142855,37.0,-3.761428571428571,37.0,-2.8288571428571427
38,-1.218142857142857,38.0,-2.2857142857142856,38.0,-3.628,38.0,-2.5018571428571432,38.0,-0.8757142857142857,38.0,-3.045142857142857,38.0,-3.7654285714285716,38.0,-2.628285714285714
39,-1.2017142857142855,39.0,-2.2074285714285713,39.0,-3.626142857142857,39.0,-2.737714285714286,39.0,-0.8292857142857143,39.0,-2.967714285714286,39.0,-3.768142857142857,39.0,-2.8985714285714286
40,-1.1727142857142856,40.0,-2.123,40.0,-3.6312857142857142,40.0,-2.627,40.0,-0.791,40.0,-2.906714285714286,40.0,-3.771142857142857,40.0,-2.862142857142857
41,-1.1627142857142856,41.0,-2.001142857142857,41.0,-3.639714285714286,41.0,-2.564571428571429,41.0,-0.7311428571428572,41.0,-2.8085714285714287,41.0,-3.7735714285714286,41.0,-2.831
42,-1.1528571428571428,42.0,-1.9484285714285714,42.0,-3.6418571428571425,42.0,-2.7008571428571426,42.0,-0.7471428571428571,42.0,-2.7464285714285714,42.0,-3.775,42.0,-2.8964285714285714
43,-1.132,43.0,-1.8777142857142857,43.0,-3.6475714285714287,43.0,-2.788,43.0,-0.7264285714285714,43.0,-2.645285714285714,43.0,-3.7777142857142856,43.0,-2.9945714285714287
44,-1.122,44.0,-1.7924285714285715,44.0,-3.6517142857142857,44.0,-2.7755714285714284,44.0,-0.6724285714285714,44.0,-2.5371428571428574,44.0,-3.7797142857142854,44.0,-2.9690000000000003
45,-1.110142857142857,45.0,-1.7188571428571429,45.0,-3.6512857142857142,45.0,-2.498857142857143,45.0,-0.6531428571428571,45.0,-2.4564285714285714,45.0,-3.7818571428571426,45.0,-2.732428571428571
46,-1.113,46.0,-1.6614285714285713,46.0,-3.6568571428571426,46.0,-2.6759999999999997,46.0,-0.6535714285714286,46.0,-2.346285714285714,46.0,-3.784,46.0,-2.9375714285714287
47,-1.1119999999999999,47.0,-1.5874285714285714,47.0,-3.6604285714285716,47.0,-2.557142857142857,47.0,-0.6111428571428571,47.0,-2.262571428571429,47.0,-3.7857142857142856,47.0,-2.805285714285714
48,-1.0895714285714286,48.0,-1.5459999999999998,48.0,-3.665857142857143,48.0,-2.5838571428571426,48.0,-0.5798571428571428,48.0,-2.1494285714285715,48.0,-3.788,48.0,-2.8715714285714284
49,-1.0955714285714284,49.0,-1.4615714285714285,49.0,-3.662,49.0,-2.645142857142857,49.0,-0.5757142857142857,49.0,-2.035,49.0,-3.787,49.0,-2.940714285714286
50,-1.1075714285714287,50.0,-1.413714285714286,50.0,-3.6691428571428575,50.0,-2.7017142857142855,50.0,-0.5708571428571428,50.0,-1.9375714285714287,50.0,-3.790142857142857,50.0,-2.985285714285714
51,-1.092857142857143,51.0,-1.3671428571428572,51.0,-3.665714285714286,51.0,-2.556285714285714,51.0,-0.5507142857142857,51.0,-1.8325714285714285,51.0,-3.789142857142857,51.0,-2.8607142857142853
52,-1.1039999999999999,52.0,-1.3084285714285713,52.0,-3.671285714285714,52.0,-2.73,52.0,-0.5628571428571428,52.0,-1.7425714285714287,52.0,-3.7920000000000003,52.0,-2.9987142857142857
53,-1.0927142857142857,53.0,-1.2852857142857144,53.0,-3.670428571428572,53.0,-2.730285714285714,53.0,-0.5198571428571428,53.0,-1.6972857142857143,53.0,-3.7904285714285715,53.0,-3.0234285714285716
54,-1.0938571428571429,54.0,-1.2544285714285714,54.0,-3.670142857142857,54.0,-2.7887142857142857,54.0,-0.5228571428571429,54.0,-1.5555714285714284,54.0,-3.791571428571429,54.0,-3.0532857142857144
55,-1.0891428571428572,55.0,-1.1947142857142856,55.0,-3.670142857142857,55.0,-2.745,55.0,-0.4807142857142857,55.0,-1.5021428571428572,55.0,-3.7914285714285714,55.0,-2.9771428571428573
56,-1.0915714285714286,56.0,-1.1934285714285713,56.0,-3.6688571428571426,56.0,-2.6747142857142854,56.0,-0.48457142857142854,56.0,-1.4689999999999999,56.0,-3.791571428571429,56.0,-2.8792857142857144
57,-1.087,57.0,-1.1549999999999998,57.0,-3.6724285714285716,57.0,-2.744142857142857,57.0,-0.4824285714285714,57.0,-1.3671428571428572,57.0,-3.7944285714285715,57.0,-3.020285714285714
58,-1.0864285714285713,58.0,-1.129857142857143,58.0,-3.6744285714285714,58.0,-2.6964285714285716,58.0,-0.45814285714285713,58.0,-1.2624285714285715,58.0,-3.7938571428571426,58.0,-2.898
59,-1.0807142857142857,59.0,-1.1184285714285715,59.0,-3.675142857142857,59.0,-2.6990000000000003,59.0,-0.4401428571428571,59.0,-1.1875714285714287,59.0,-3.7947142857142855,59.0,-2.9810000000000003
60,-1.0858571428571429,60.0,-1.1212857142857142,60.0,-3.6807142857142856,60.0,-2.763142857142857,60.0,-0.4358571428571429,60.0,-1.1257142857142857,60.0,-3.7967142857142853,60.0,-3.068714285714286
61,-1.0884285714285713,61.0,-1.1245714285714286,61.0,-3.678142857142857,61.0,-2.624142857142857,61.0,-0.41571428571428576,61.0,-1.0530000000000002,61.0,-3.797571428571428,61.0,-2.9161428571428574
62,-1.0907142857142857,62.0,-1.0954285714285714,62.0,-3.678857142857143,62.0,-2.5195714285714286,62.0,-0.41957142857142854,62.0,-1.0015714285714286,62.0,-3.797,62.0,-2.821142857142857
63,-1.0898571428571429,63.0,-1.0855714285714286,63.0,-3.681142857142857,63.0,-2.764714285714286,63.0,-0.4044285714285714,63.0,-0.9232857142857143,63.0,-3.7991428571428574,63.0,-3.032571428571429
64,-1.0791428571428572,64.0,-1.096142857142857,64.0,-3.6832857142857143,64.0,-2.694571428571429,64.0,-0.391,64.0,-0.8327142857142859,64.0,-3.7997142857142854,64.0,-2.937857142857143
65,-1.0851428571428572,65.0,-1.0798571428571428,65.0,-3.682142857142857,65.0,-2.7745714285714285,65.0,-0.367,65.0,-0.858,65.0,-3.7994285714285714,65.0,-3.014
66,-1.0851428571428572,66.0,-1.0722857142857143,66.0,-3.677571428571429,66.0,-2.77,66.0,-0.38757142857142857,66.0,-0.7298571428571429,66.0,-3.7982857142857145,66.0,-3.076285714285714
67,-1.0915714285714286,67.0,-1.093,67.0,-3.6768571428571426,67.0,-2.75,67.0,-0.3737142857142857,67.0,-0.7244285714285714,67.0,-3.7982857142857145,67.0,-3.030857142857143
68,-1.0772857142857144,68.0,-1.0762857142857143,68.0,-3.6794285714285713,68.0,-2.7782857142857145,68.0,-0.32342857142857145,68.0,-0.6980000000000001,68.0,-3.8004285714285717,68.0,-3.0825714285714283
69,-1.0938571428571429,69.0,-1.076,69.0,-3.6838571428571427,69.0,-2.814857142857143,69.0,-0.337,69.0,-0.652142857142857,69.0,-3.8004285714285717,69.0,-3.111285714285714
70,-1.0917142857142859,70.0,-1.0811428571428572,70.0,-3.6814285714285715,70.0,-2.810714285714286,70.0,-0.30414285714285716,70.0,-0.5941428571428571,70.0,-3.799857142857143,70.0,-3.1421428571428573
71,-1.0877142857142859,71.0,-1.0874285714285714,71.0,-3.680142857142857,71.0,-2.838142857142857,71.0,-0.3298571428571429,71.0,-0.5802857142857143,71.0,-3.8005714285714283,71.0,-3.1284285714285716
72,-1.0884285714285713,72.0,-1.0764285714285715,72.0,-3.6768571428571426,72.0,-2.729,72.0,-0.3415714285714286,72.0,-0.5245714285714286,72.0,-3.7974285714285716,72.0,-3.055428571428571
73,-1.0757142857142858,73.0,-1.0912857142857144,73.0,-3.676714285714286,73.0,-2.8222857142857145,73.0,-0.3485714285714286,73.0,-0.47842857142857137,73.0,-3.7997142857142854,73.0,-3.074857142857143
74,-1.0842857142857143,74.0,-1.083,74.0,-3.680285714285714,74.0,-2.907,74.0,-0.3217142857142857,74.0,-0.43014285714285716,74.0,-3.801142857142857,74.0,-3.190714285714286
75,-1.0874285714285714,75.0,-1.0858571428571429,75.0,-3.680142857142857,75.0,-2.7912857142857144,75.0,-0.294,75.0,-0.44871428571428573,75.0,-3.802142857142857,75.0,-3.1197142857142857
76,-1.0844285714285715,76.0,-1.0784285714285713,76.0,-3.6792857142857143,76.0,-2.7145714285714284,76.0,-0.3162857142857143,76.0,-0.4022857142857143,76.0,-3.8027142857142855,76.0,-3.064285714285714
77,-1.0844285714285715,77.0,-1.093,77.0,-3.6822857142857144,77.0,-2.9469999999999996,77.0,-0.2978571428571429,77.0,-0.41285714285714287,77.0,-3.802857142857143,77.0,-3.232714285714286
78,-1.0932857142857144,78.0,-1.0845714285714285,78.0,-3.684857142857143,78.0,-2.987142857142857,78.0,-0.29457142857142854,78.0,-0.3831428571428571,78.0,-3.8042857142857143,78.0,-3.2905714285714285
79,-1.0858571428571429,79.0,-1.0831428571428572,79.0,-3.684,79.0,-2.7887142857142857,79.0,-0.2842857142857143,79.0,-0.3031428571428571,79.0,-3.803857142857143,79.0,-3.1274285714285712
80,-1.0834285714285714,80.0,-1.0864285714285713,80.0,-3.6775714285714285,80.0,-2.887571428571429,80.0,-0.2775714285714286,80.0,-0.3375714285714286,80.0,-3.802857142857143,80.0,-3.1882857142857146
81,-1.0885714285714285,81.0,-1.082,81.0,-3.682714285714286,81.0,-2.9038571428571425,81.0,-0.2644285714285714,81.0,-0.28757142857142853,81.0,-3.8045714285714283,81.0,-3.204571428571428
82,-1.0824285714285715,82.0,-1.0799999999999998,82.0,-3.681142857142857,82.0,-2.985,82.0,-0.26342857142857146,82.0,-0.31471428571428567,82.0,-3.8048571428571427,82.0,-3.291
83,-1.0935714285714284,83.0,-1.0851428571428572,83.0,-3.69,83.0,-2.9388571428571426,83.0,-0.26485714285714285,83.0,-0.3098571428571429,83.0,-3.806857142857143,83.0,-3.258714285714286
84,-1.0962857142857143,84.0,-1.0742857142857143,84.0,-3.690857142857143,84.0,-2.935857142857143,84.0,-0.23,84.0,-0.269,84.0,-3.8084285714285713,84.0,-3.264714285714286
85,-1.0917142857142859,85.0,-1.08,85.0,-3.6861428571428574,85.0,-2.9077142857142855,85.0,-0.24757142857142858,85.0,-0.28671428571428575,85.0,-3.806142857142857,85.0,-3.189285714285714
86,-1.0925714285714285,86.0,-1.084,86.0,-3.688714285714286,86.0,-2.921285714285714,86.0,-0.2705714285714286,86.0,-0.2854285714285714,86.0,-3.807714285714286,86.0,-3.2075714285714283
87,-1.0812857142857142,87.0,-1.0754285714285714,87.0,-3.6888571428571426,87.0,-2.846571428571429,87.0,-0.2624285714285714,87.0,-0.25599999999999995,87.0,-3.8081428571428573,87.0,-3.216285714285714
88,-1.0887142857142857,88.0,-1.0904285714285715,88.0,-3.699857142857143,88.0,-2.9325714285714284,88.0,-0.2657142857142857,88.0,-0.2192857142857143,88.0,-3.8132857142857146,88.0,-3.2477142857142853
89,-1.0852857142857144,89.0,-1.0815714285714286,89.0,-3.704857142857143,89.0,-2.8362857142857143,89.0,-0.2562857142857143,89.0,-0.2624285714285714,89.0,-3.814142857142857,89.0,-3.146714285714286
90,-1.092857142857143,90.0,-1.0875714285714286,90.0,-3.6994285714285717,90.0,-2.867857142857143,90.0,-0.2207142857142857,90.0,-0.2517142857142857,90.0,-3.8128571428571427,90.0,-3.2222857142857144
91,-1.0897142857142856,91.0,-1.0857142857142856,91.0,-3.7025714285714284,91.0,-2.8322857142857143,91.0,-0.21228571428571427,91.0,-0.21771428571428572,91.0,-3.8147142857142855,91.0,-3.1588571428571433
92,-1.0954285714285714,92.0,-1.0847142857142857,92.0,-3.6994285714285717,92.0,-2.8465714285714285,92.0,-0.17957142857142858,92.0,-0.1992857142857143,92.0,-3.8154285714285714,92.0,-3.2501428571428574
93,-1.0938571428571429,93.0,-1.0781428571428573,93.0,-3.7104285714285714,93.0,-3.046,93.0,-0.17285714285714285,93.0,-0.20042857142857143,93.0,-3.819857142857143,93.0,-3.357714285714286
94,-1.0882857142857143,94.0,-1.0788571428571427,94.0,-3.7072857142857143,94.0,-3.0838571428571426,94.0,-0.21528571428571427,94.0,-0.18642857142857144,94.0,-3.8194285714285714,94.0,-3.372
95,-1.092142857142857,95.0,-1.0858571428571429,95.0,-3.709857142857143,95.0,-2.985285714285714,95.0,-0.17300000000000001,95.0,-0.19214285714285714,95.0,-3.8215714285714286,95.0,-3.31
96,-1.0878571428571429,96.0,-1.0887142857142857,96.0,-3.705714285714286,96.0,-2.9924285714285714,96.0,-0.17300000000000001,96.0,-0.16157142857142856,96.0,-3.821,96.0,-3.3201428571428573
97,-1.0892857142857142,97.0,-1.0891428571428572,97.0,-3.7178571428571425,97.0,-2.927285714285714,97.0,-0.16685714285714284,97.0,-0.17642857142857143,97.0,-3.8258571428571426,97.0,-3.2601428571428572
98,-1.0885714285714285,98.0,-1.0895714285714286,98.0,-3.7128571428571426,98.0,-3.024857142857143,98.0,-0.17142857142857143,98.0,-0.16285714285714284,98.0,-3.8237142857142854,98.0,-3.338714285714286
99,-1.0894285714285714,99.0,-1.0892857142857142,99.0,-3.718857142857143,99.0,-2.911714285714286,99.0,-0.17857142857142858,99.0,-0.1602857142857143,99.0,-3.824857142857143,99.0,-3.239142857142857
