Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score,Hum SNR,score,WhiteNoise SNR,score,Clipping Percentage,score,Dropout Num,score
1,-2.7005,1,-3.3355,1,-2.1272,1,-1.2679,1,-2.7149,1,-3.3328,1,-2.1995,1,-0.35177
2,-2.6941,2,-3.3309,2,-2.4661,2,-1.1336,2,-2.6609,2,-3.3304,2,-2.5228,2,-0.22284
3,-2.6802,3,-3.3355,3,-2.6305,3,-1.1319,3,-2.6501,3,-3.3358,3,-2.6831,3,-0.24424
4,-2.6328,4,-3.3227,4,-2.7295,4,-1.3444,4,-2.6221,4,-3.3223,4,-2.7896,4,-0.33347
5,-2.6327,5,-3.3236,5,-2.8089,5,-1.3467,5,-2.5877,5,-3.322,5,-2.8588,5,-0.41461
6,-2.5597,6,-3.3179,6,-2.8972,6,-1.2785,6,-2.5509,6,-3.3153,6,-2.9267,6,-0.41753
7,-2.5334,7,-3.3017,7,-2.9333,7,-1.3074,7,-2.477,7,-3.2974,7,-2.9392,7,-0.44699
8,-2.5124,8,-3.3047,8,-2.9391,8,-1.4794,8,-2.4753,8,-3.3054,8,-2.9549,8,-0.61082
9,-2.3816,9,-3.3083,9,-3.0078,9,-1.499,9,-2.3537,9,-3.308,9,-3.0013,9,-0.48566
10,-2.389,10,-3.3103,10,-3.0137,10,-1.5408,10,-2.2998,10,-3.3007,10,-3.0272,10,-0.66215
11,-2.3519,11,-3.2975,11,-2.9778,11,-1.9862,11,-2.2708,11,-3.2883,11,-2.9872,11,-0.94123
12,-2.3109,12,-3.2883,12,-3.0175,12,-1.7091,12,-2.1825,12,-3.2822,12,-3.0256,12,-0.96094
13,-2.2056,13,-3.2943,13,-3.0151,13,-1.4675,13,-2.0583,13,-3.2837,13,-3.0332,13,-0.64463
14,-2.2208,14,-3.2762,14,-3.0059,14,-1.8271,14,-2.0395,14,-3.2712,14,-3.0486,14,-1.0683
15,-2.1166,15,-3.2827,15,-3.0161,15,-2.1411,15,-1.8728,15,-3.2809,15,-3.0472,15,-1.3426
16,-2.0253,16,-3.2726,16,-3.0304,16,-2.2335,16,-1.8761,16,-3.2684,16,-3.0694,16,-1.9795
17,-2.0751,17,-3.275,17,-3.0335,17,-2.183,17,-1.8335,17,-3.2725,17,-3.0723,17,-1.8215
18,-1.9582,18,-3.2677,18,-3.0362,18,-1.7575,18,-1.6741,18,-3.2557,18,-3.0641,18,-0.93696
19,-1.8811,19,-3.249,19,-3.0491,19,-2.3337,19,-1.7036,19,-3.2595,19,-3.0817,19,-1.979
20,-1.9001,20,-3.2746,20,-3.0404,20,-1.7898,20,-1.4963,20,-3.2584,20,-3.0591,20,-0.91636
21,-1.7859,21,-3.2628,21,-3.0511,21,-2.3934,21,-1.5102,21,-3.2514,21,-3.0793,21,-2.243
22,-1.6792,22,-3.2461,22,-3.0508,22,-2.306,22,-1.3412,22,-3.2427,22,-3.0855,22,-2.3872
23,-1.655,23,-3.237,23,-3.0577,23,-2.5013,23,-1.272,23,-3.2217,23,-3.0846,23,-2.3862
24,-1.6989,24,-3.2414,24,-3.064,24,-2.422,24,-1.1706,24,-3.2403,24,-3.1036,24,-2.3857
25,-1.541,25,-3.2155,25,-3.0696,25,-2.3794,25,-1.1096,25,-3.2024,25,-3.1078,25,-2.2411
26,-1.4469,26,-3.1825,26,-3.0851,26,-2.3242,26,-0.97454,26,-3.1742,26,-3.1081,26,-2.3075
27,-1.4634,27,-3.175,27,-3.0866,27,-2.3299,27,-1.0518,27,-3.1555,27,-3.1065,27,-2.1222
28,-1.4824,28,-3.1465,28,-3.0846,28,-2.7631,28,-0.97108,28,-3.1399,28,-3.1032,28,-2.8224
29,-1.4325,29,-3.1143,29,-3.09,29,-2.6709,29,-0.88125,29,-3.1177,29,-3.1124,29,-2.6819
30,-1.3079,30,-3.126,30,-3.1013,30,-2.254,30,-0.79897,30,-3.0473,30,-3.1124,30,-2.1565
31,-1.2228,31,-3.091,31,-3.1073,31,-2.7405,31,-0.7839,31,-3.095,31,-3.1178,31,-2.6477
32,-1.2744,32,-3.0139,32,-3.1179,32,-2.661,32,-0.79347,32,-2.9972,32,-3.1302,32,-2.5589
33,-1.1944,33,-3.0201,33,-3.1223,33,-2.217,33,-0.74569,33,-3.0148,33,-3.1336,33,-2.0468
34,-1.262,34,-2.9548,34,-3.1362,34,-2.5307,34,-0.73343,34,-2.9169,34,-3.1414,34,-2.397
35,-1.2617,35,-2.8128,35,-3.1433,35,-2.3915,35,-0.6468,35,-2.8501,35,-3.1414,35,-2.3761
36,-1.2219,36,-2.8484,36,-3.1515,36,-2.7584,36,-0.7217,36,-2.909,36,-3.1498,36,-2.7235
37,-1.1361,37,-2.7228,37,-3.1515,37,-2.7501,37,-0.63652,37,-2.7778,37,-3.1545,37,-2.706
38,-1.1478,38,-2.6778,38,-3.1545,38,-2.7988,38,-0.67154,38,-2.7281,38,-3.1591,38,-2.7198
39,-1.2278,39,-2.627,39,-3.1666,39,-2.6994,39,-0.7071,39,-2.7394,39,-3.1738,39,-2.4844
40,-1.2714,40,-2.6345,40,-3.1758,40,-2.8201,40,-0.65168,40,-2.6057,40,-3.179,40,-2.7979
41,-1.1792,41,-2.4023,41,-3.1844,41,-2.6293,41,-0.65238,41,-2.4307,41,-3.1857,41,-2.3524
42,-1.2294,42,-2.4858,42,-3.1855,42,-2.8367,42,-0.69078,42,-2.5796,42,-3.1922,42,-2.7769
43,-1.2248,43,-2.2501,43,-3.1788,43,-3.1244,43,-0.65753,43,-2.4146,43,-3.1853,43,-3.1013
44,-1.1629,44,-2.1817,44,-3.1949,44,-2.8834,44,-0.63873,44,-2.3545,44,-3.2028,44,-2.9512
45,-1.2288,45,-2.0638,45,-3.1886,45,-2.893,45,-0.56662,45,-2.2917,45,-3.1912,45,-2.8788
46,-1.1757,46,-1.9448,46,-3.1862,46,-2.9861,46,-0.611,46,-2.0867,46,-3.1898,46,-3.0064
47,-1.1558,47,-2.1072,47,-3.199,47,-2.999,47,-0.66877,47,-2.1772,47,-3.2003,47,-2.9836
48,-1.2791,48,-1.9538,48,-3.1972,48,-2.8034,48,-0.6601,48,-1.882,48,-3.2035,48,-2.8015
49,-1.1445,49,-1.8077,49,-3.2073,49,-2.9608,49,-0.65875,49,-1.7052,49,-3.2105,49,-2.939
50,-1.2434,50,-1.6295,50,-3.2128,50,-2.9393,50,-0.64138,50,-1.4313,50,-3.2052,50,-2.9179
51,-1.1317,51,-1.6689,51,-3.219,51,-3.0778,51,-0.68767,51,-1.5923,51,-3.2165,51,-3.0513
52,-1.2085,52,-1.6645,52,-3.2153,52,-2.8895,52,-0.61058,52,-1.266,52,-3.2184,52,-2.8917
53,-1.2036,53,-1.7779,53,-3.2213,53,-2.9994,53,-0.60907,53,-1.689,53,-3.2245,53,-3.0055
54,-1.1521,54,-1.5944,54,-3.216,54,-2.9366,54,-0.64814,54,-1.1703,54,-3.2227,54,-2.9366
55,-1.1581,55,-1.5431,55,-3.2226,55,-2.9961,55,-0.53372,55,-1.3028,55,-3.2226,55,-3.0037
56,-1.1203,56,-1.4756,56,-3.2222,56,-3.0537,56,-0.50063,56,-1.1596,56,-3.2256,56,-3.0429
57,-1.1702,57,-1.3237,57,-3.2306,57,-2.8259,57,-0.54841,57,-1.0794,57,-3.2272,57,-2.7669
58,-1.1363,58,-1.324,58,-3.231,58,-3.1093,58,-0.57999,58,-0.96071,58,-3.2345,58,-3.0909
59,-1.1787,59,-1.1484,59,-3.2422,59,-2.7996,59,-0.60109,59,-0.84988,59,-3.24,59,-2.7976
60,-1.2311,60,-1.1431,60,-3.2416,60,-2.928,60,-0.67783,60,-0.73432,60,-3.2356,60,-2.9429
61,-1.1083,61,-1.1143,61,-3.2471,61,-3.0667,61,-0.52948,61,-0.73018,61,-3.2395,61,-3.0368
62,-1.0879,62,-1.1502,62,-3.2455,62,-3.1457,62,-0.52336,62,-0.75043,62,-3.2474,62,-3.1289
63,-1.2047,63,-1.0887,63,-3.2529,63,-3.1047,63,-0.51313,63,-0.6519,63,-3.2524,63,-3.0841
64,-1.0593,64,-1.1955,64,-3.2538,64,-3.1375,64,-0.51732,64,-0.54406,64,-3.2478,64,-3.1524
65,-1.1195,65,-1.1372,65,-3.2543,65,-3.1389,65,-0.48805,65,-0.52776,65,-3.2512,65,-3.083
66,-1.2099,66,-1.1918,66,-3.2553,66,-3.0714,66,-0.62543,66,-0.47975,66,-3.2572,66,-3.0881
67,-1.2205,67,-1.1764,67,-3.2601,67,-3.2041,67,-0.56005,67,-0.47989,67,-3.2543,67,-3.2125
68,-1.1377,68,-1.218,68,-3.2523,68,-3.0477,68,-0.50942,68,-0.52486,68,-3.2508,68,-3.1003
69,-1.1909,69,-1.1866,69,-3.2551,69,-3.0931,69,-0.49806,69,-0.43894,69,-3.2553,69,-3.0938
70,-1.1563,70,-1.1433,70,-3.2556,70,-3.2093,70,-0.47802,70,-0.43604,70,-3.2614,70,-3.2093
71,-1.2249,71,-1.233,71,-3.2555,71,-3.1351,71,-0.44576,71,-0.44871,71,-3.2549,71,-3.133
72,-1.1258,72,-1.0804,72,-3.2575,72,-3.2017,72,-0.50272,72,-0.39936,72,-3.2585,72,-3.2013
73,-1.1292,73,-1.1247,73,-3.2642,73,-3.227,73,-0.51033,73,-0.43327,73,-3.2641,73,-3.2321
74,-1.192,74,-1.1753,74,-3.2621,74,-3.1353,74,-0.48954,74,-0.38577,74,-3.2658,74,-3.1421
75,-1.0781,75,-1.1156,75,-3.2696,75,-3.1171,75,-0.46048,75,-0.37844,75,-3.2674,75,-3.1138
76,-1.173,76,-1.1091,76,-3.2684,76,-3.1565,76,-0.46139,76,-0.41144,76,-3.2732,76,-3.1588
77,-1.124,77,-1.1842,77,-3.2734,77,-3.2018,77,-0.42337,77,-0.37254,77,-3.2757,77,-3.1786
78,-1.1278,78,-1.0778,78,-3.2706,78,-3.1258,78,-0.41879,78,-0.38314,78,-3.2756,78,-3.136
79,-1.1676,79,-1.1224,79,-3.2677,79,-3.1308,79,-0.45191,79,-0.34937,79,-3.2713,79,-3.1021
80,-1.1,80,-1.2017,80,-3.2676,80,-3.1804,80,-0.39301,80,-0.29812,80,-3.269,80,-3.1995
81,-1.0983,81,-1.1046,81,-3.2655,81,-3.1855,81,-0.51943,81,-0.29447,81,-3.2693,81,-3.1491
82,-1.1281,82,-1.1805,82,-3.2749,82,-3.2549,82,-0.36203,82,-0.32751,82,-3.2733,82,-3.2569
83,-1.1684,83,-1.1572,83,-3.2703,83,-3.224,83,-0.40134,83,-0.34892,83,-3.2711,83,-3.2151
84,-1.0941,84,-1.1059,84,-3.2733,84,-3.1344,84,-0.37199,84,-0.30892,84,-3.2745,84,-3.1122
85,-1.0941,85,-1.1102,85,-3.2767,85,-3.1623,85,-0.35282,85,-0.31661,85,-3.282,85,-3.1451
86,-1.1104,86,-1.1647,86,-3.2796,86,-3.2186,86,-0.37239,86,-0.33806,86,-3.287,86,-3.2201
87,-1.0644,87,-1.1705,87,-3.2801,87,-3.2583,87,-0.34251,87,-0.37279,87,-3.2894,87,-3.253
88,-1.1306,88,-1.1408,88,-3.2798,88,-3.1519,88,-0.36257,88,-0.3881,88,-3.28,88,-3.1903
89,-1.0871,89,-1.137,89,-3.2769,89,-3.2168,89,-0.34801,89,-0.31149,89,-3.2833,89,-3.2028
90,-1.1028,90,-1.1663,90,-3.2817,90,-3.1881,90,-0.35739,90,-0.31256,90,-3.2823,90,-3.1926
91,-1.122,91,-1.1531,91,-3.2861,91,-3.2506,91,-0.3239,91,-0.26856,91,-3.2847,91,-3.2575
92,-1.1435,92,-1.1513,92,-3.2807,92,-3.1133,92,-0.31557,92,-0.28799,92,-3.2851,92,-3.1151
93,-1.2206,93,-1.0992,93,-3.2818,93,-3.2174,93,-0.34553,93,-0.31382,93,-3.2882,93,-3.2206
94,-1.0754,94,-1.1374,94,-3.2809,94,-3.2239,94,-0.33847,94,-0.32559,94,-3.2837,94,-3.2195
95,-1.0834,95,-1.1186,95,-3.2806,95,-3.0708,95,-0.3392,95,-0.26527,95,-3.2902,95,-3.0921
96,-1.0874,96,-1.1161,96,-3.2832,96,-3.1518,96,-0.33138,96,-0.27289,96,-3.2927,96,-3.1638
97,-1.1113,97,-1.1137,97,-3.2917,97,-3.2057,97,-0.30777,97,-0.25951,97,-3.2932,97,-3.2178
98,-1.0891,98,-1.1349,98,-3.2989,98,-3.2171,98,-0.25039,98,-0.25342,98,-3.2997,98,-3.2005
99,-1.1558,99,-1.1123,99,-3.3015,99,-3.1983,99,-0.28793,99,-0.22682,99,-3.3037,99,-3.2215
